'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2018-05-25,'18.05.25','02:55','03:05','03:20','UAB "Naujoji Pilaitë" -Reaguot tik atsak. asm. iðkvietim.- Sergejus Falèikas , Oleg Kupreðèenko ir Mykolas Miliauskas:tel. 865565023, 865565034, 868515930 ir UAB ,,AKTKC. Jeigu skambino gyv.,-turite sakyti tel. 230 74 14, 11','Teka vanduo  ið virðaus',,'Papilënø 7','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad trûkusi ðalto vandens lanksti þarnelë tualeto bakeliui  virðutiniame  90 bute. Atvykimo metu vanduo bute buvo jau uþdarytas. Uþpiltos 86 buto lubos ir siena koridoriuje bei tualete. Gyv. nesumokëjo.','',18.827600000000003
2018-05-25,'18.05.25','07:10','07:40','08:50','397-oji DNSB, _','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø vamzdis',,'Rinktinës 21','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas  stovui rûsyje.  Nuotekos tinklø bendro vamzdþio  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-05-25,'18.05.25','10:05','10:30','12:15','Nëra sutarties','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø vamzdis',,'Bokðto 19','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos virtuvës  grindyse.  Fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2018-05-25,'18.05.25','11:50','12:20','13:40','Nëra sutarties','Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Þirmûnø 10b','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos vandens apskaitos mazgo  grindyse rûsyje.  Fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-05-25,'18.05.25','12:20','12:30','13:30','UAB "Ozo miestas", 134/14','Kyla nuotekos vonios praustuve',,'Latviø 53a','1.1 Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Sifono po praustuvu vonios patalpoje iðardymas ir iðvalymas. Nuotekos tinklø vamzdþio  valymas su gyvatuku iki stovo  kai vamzdþio skersmuo iki 50 mm., ilgis iki 5 m. Sifono surinkimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',27.2976
2018-05-25,'18.05.25','15:00','15:15','16:15','Nëra sutarties','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø vamzdis',,'Vilniaus 41','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos tualeto patalpos  grindyse.  Fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2018-05-25,'18.05.25','15:10','15:25','16:00','489-oji DNSB  darbo dienomis nevaþiuoti nuo 8 val. iki 13 val. , _','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Þemynos 39','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas  stovui  tech. spintoje bute.  Nuotekos tinklø bendro virtuvinio stovo valymas su elektrine freza   kai vamzdþio  skersmuo iki 50 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-05-25,'18.05.25','16:00','16:15','17:00','398-oji DNSB, _','Teka vanduo ið vamzdþio rûsyje',,'Vileiðio P. 22','2.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas. Prarûdijusios arba trukusios vamzdþio vietos suradimas, daþø ir rûdþiø nuvalymas. Guminës tarpinës uþdëjimas. Spaustuvo árengimas karðto vandens vamzdþiui iki 32 mm.   uþverþiant  varþtais rûsyje. Taisomos vietos sandarumo patikrinimas.','Metalo apkaba d-32 1 vnt',24.623500000000003
2018-05-25,'18.05.25','16:40','17:00','17:30','UAB "Ðilëja " (Tel. 2466644), _','Teka vanduo rûsyje',,'Ðeðkinës 11','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Atvykus pastebëta, kad teka vanduo ið perdenginio rûsyje. Nustatyta, kad trûkusi ðalto vandens lanksti þarnelë tualeto bakeliui virðutiniame 63 bute.  Bandant uþsukti vandená namui atvyko minëto 63 buto gyv. ir uþdarë vandená bute. Gyv. nesumokëjo.','',18.827600000000003
2018-05-25,'18.05.25','17:55','18:05','18:35','GN  Justiniðkiø g.103 savininkø bendrija, _',' Nenuteka nuotekos valytojos pagalbinëse patalpose  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Justiniðkiø 103','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro vamzdþio  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-05-25,'18.05.25','21:15','21:30','23:00','UAB "Ðilëja " (Tel. 2466644), _','Laða vanduo ið virðaus',,'Juozapavièiaus A. 3','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro lietaus  nuotekos tinklø  vamzdþio valymas su gyvatuku, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið trapo 12-to aukðto 76 buto terasos  grindyse.  Lietaus nutekëjimo patikrinimas vandens srove.','',39.7969
2018-05-25,'18.05.25','22:00','22:15','22:45','UAB "Pastatø meistrai"-( UAB ,,Senam.ûkis") gavus praneðimà -ne vëliai kaip per dvi val. atvykti.Kont. asm.Tomas Kiðunas 862048707, Tomas Pupkus 865597556, Kiek.v. ryta atask.-klauskite@civinity.euinform.gyvent.-tel. 870055188, 17/MA-150','Nëra elektros butuose',,'Tilto 29','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Nustatyta, kad trumpina fazinis laidas 1-mo aukðto laiptinës skydelyje, konkreèios vietos kur trumpina neaptikome. Darbas dienos metu. Nëra elektros dviejuose butuose.','',18.827600000000003
