'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2018-04-03,'18.04.03','21:15','21:25','22:15','UAB "Castrade service"  --- RAKTAI yra Justiniðkiø g. 70,  raktas MASTER 1- UAB Grinda    (Tel. 867918981; 2316378) darbo.d. nuo 16val.30min. iki 8val.,, penktadiená  nuo 15val.30min..iki 8val., 2/2014','Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Þemynos 47','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos rûsio  grindyse.  Fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-04-03,'18.04.03','21:45','22:00','22:15','60-oji DNSB darbo d. iðk.vykd. nuo 20 val.iki 8 val.ir  kvieèia pirm.Gruðenkov tel. 860255900, pavad.Kavaliukas tel.86245770 arba sant.tel.869968141, _','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas','Praneðti  60-oji DNSB ','Fabijoniðkiø 37','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà.   Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad virtuvinio nuotekø stovo iðvalyti nebuvo galimybës nes nëra priëjimo prie stovo revizijos uþrakintame sandëliuke rûsyje. Gyv. ið buto valyti neleido dël galimo pavojaus, kad bevalant bus subraiþytos grindys ir iðpurvintos sienos.','',15.6937
2018-04-03,'18.04.03','23:15','23:30','23:50','UAB "Ðilëja " (Tel. 2466644), _','Teka vanduo ið virðaus',,'Dûkðtø 9','2.1Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Raktø prie uþdaromos armatûros priëjimo ir reikiamà stovo pagal komunikacijø iðdëstymà suradimas. Ðalto vandens tiekimo iðjungimas virtuvës stovui uþdarant ventilá. Vandens iðleidimas ið sistemos atidarius nuleidëjà. Tekëjo ið perdenginio, virðutiniuose 7 ir 11 butuose nieks neatidarë durø. Drëgnos lubos ir siena 3 buto koridoriuje bei virtuvëje.','',22.5786
2018-04-03,'18.04.03','00:01','00:10','01:00','UAB "ADMI" (Reaguot tik atsak. asm. iðkvietim.-Rolandas Juðka , Dainius Valèiukas, Oleg Kupreðèenko ir Mykolas Miliauskas: 865056203, 860910287, 865565034 ir 868515930.ir UAB ,,AKTKC". Jeigu skambino gyv.,-turite sakyti tel. 200 11 22, 114/2014','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Justiniðkiø 144d','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Nuotekos tinklø bendro vamzdþio valymas su elektrine freza   kai vamzdþio skersmuo iki 100 mm., ilgis iki 10 m. ið pravalos  bute. Fekalijø nutekëjimo patikrinimas vandens srove. Uþpiltos grindys bute.','',45.9195
2018-04-03,'18.04.03','07:05','07:55','08:40','Nëra sutarties','Kyla nuotekos klozete',,'Justiniðkiø 66','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad valant su gyvatuku nuotekos tinklø vamzdá per klzetà iðvalyti negalime, gyvatukas remiasi á kietà daiktà. Átarema, kad ámesta muilinë, reikalingas klozeto demontavimas su paruoðimo darbais.','',15.6937
2018-04-03,'18.04.03','07:55','08:05','08:45','UAB "Ozo miestas", 134/14','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Apkasø 31','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro virtuvinio stovo valymas su elektrine freza  tarp 1-mo aukðto ir rûsio kai vamzdþio  skersmuo iki 50 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-04-03,'18.04.03','08:50','09:50','11:20','Nëra sutarties','Kyla nuotekos rûsyje',,'Krutulio A. 15','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad valant nuotekos tinklø vamzdá su gyvatuku ið trapo pirties grindyse iðvalyti negalime, gyvatukas remiasi á kietà daiktà.','',15.6937
2018-04-03,'18.04.03','09:30','09:40','10:10','Nëra sutarties','Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Liubarto 33','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Ávadinio ðulinio dangèio atidarymas. Nuotekos tinklø  valymas elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið ðulinio iki pastato  .  Ðulinio dangèio uþdarymas. Fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2018-04-03,'18.04.03','09:35','10:00','10:35','Nëra sutarties, _','Kyla nuotekos klozete. Uþsikimðæs   nuotekø vamzdis iki  stovo',,'Auðros vartø 6','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Nuotekos tinklø  vamzdþio valymas su rankine pompa , kai vamzdþio skersmuo iki 100 mm.  per klozetà tualeto patalpoje .  Fekalijø nutekëjimo patikrinimas vandens srove.','',38.5385
2018-04-03,'18.04.03','11:00','11:15','12:25','Nëra sutarties','Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Saltoniðkiø 34a','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos ðil. mazgo  grindyse rûsyje.  Fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2018-04-03,'18.04.03','12:50','14:55','15:05','Nëra sutarties','Nenuteka nuotekos  rûsyje.  ',,'Valakupiø 22b','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad pinas vietini nuotekø ðulinys kieme, reikalingas asenizavimas.','',18.827600000000003
2018-04-03,'18.04.03','13:10','13:20','14:20','UAB "SERVICO"  Prieð vaþiav.praneðti atsakimgiems asmenims telefonu','Iðvalyti nuotekø vamzdá tarp ðuliniø',,'Tilto 12b','1.9. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas. Ðuliniø dangèiø nuëmimas. Nuotekos tinklø tarp 1-mo ir 2-tro  ðuliniø bei tarp 1-mo ðulinio ir pastato valymas elektrine freza, kai vamzdþio skersmuo iki 150 mm., ilgis iki 20m.. Ðuliniø dangèiø uþdëjimas ir nuotekø nutekëjimo patikrinimas vandens srove.','',58.0558
