'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2018-01-02,'18.01.02','07:50','08:10','09:40','Nëra sutarties','sutriko elektros tiekimas klasei',,'Darþelio 2','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra.  Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas vidaus tinkle 3 aukðto kabinete ir elektros tiekimo atnaujinimas. ','',23.752299999999997
2018-01-02,'18.01.02','10:45','11:10','11:40','Nëra sutarties','kyla nuotekos pisuare',,'Asanavièiûtës 17','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas.Vietinës kanalizacijos  vamzdþiø valymas per pisuarà,kai skersmuo 50 mm, ilgis iki 5 m su gyvatuku ir nuotekø nutekëjimo patikrinimas vandens srove.','',32.742599999999994
2018-01-02,'18.01.02','11:00','11:10','11:55','446-oji DNSB, _','Kyla nuotekos rusyje',,'Architektø 25','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro stovo vamzdþiø valymas elektrine freza per stovo pravalà rusyje, kai skersmuo 100 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas, ,','',40.329299999999994
2018-01-02,'18.01.02','11:50','12:10','12:40','UAB "Adminsta" (Tel. 2788402) .Dadbo dien. nuo 16:30 iki  7:30 val.tel.861279192; Antanas Auglys - 861117193 ) tel. direkt.862827236, _','kyla nuotekos parkinge.Uþsikimðæs bendras nuotekø stovas.',,'Ladygos 3','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas Bendro stovo  vamzdþiø valymas elektrine freza per grindø pravalà parkinge, kai skersmuo 100 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas, ','',40.329299999999994
2018-01-02,'18.01.02','12:30','12:45','13:10','939-oji DNSB "Paðilaièiai", _','kyla nuotekos rusyje.Uþsikimðæs bendras nuotekø stovas.',,'Þemynos 12','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro stovo  vamzdþiø valymas elektrine freza,per stovo pravalà rusyje kai skersmuo 100 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,','',38.2602
2018-01-02,'18.01.02','12:30','12:45','13:30','NSB Loftas','rusyje ið vamzdþio teka ð.vanduo',,'Ðvitrigailos 11k','2.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos apþiûra ir gedimø nustatymas. Vandens tiekimo iðjungimas stovui uþdarant ventilá. Vandens iðleidimas ið vamzdþiø atidarius nuleidëjà. Trûkusio triðakio D25 mm demontavimas ir montavimas, apvyniojant sriegá lino pluoðtu su hermetiku Aklës D25mm pastatymas. Sistemos uþpildymas vandeniu ir sandarumo patikrinimas.','Triðakis cink.15 1 vnt; Aklë 1/2 1 vnt',29.9717
2018-01-02,'18.01.02','16:25','16:45','17:10','UAB "Jurita" - d. d. nuo 7-30 iki 16-30, kont. tel. 2426518, 860613838, , 50/2014','ið perdengimo virtuvëje laða vanduo',,'Taikos 7','2.1Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas.Virðt.10:14 butuose niekas neatidarë durø. Raktø prie uþdaromos armatûros priëjimo ir reikiamà stovo pagal komunikacijø iðdëstymà suradimas.K.ir ð.vandens tiekimo iðjungimas virt.stovui uþdarant ventilá. ','',18.8155
2018-01-02,'18.01.02','17:15','17:30','18:15','830-oji DNSB, _','kyla nuotekos rusyje.Uþsikimðæs bendras nuotekø stovas.',,'Architektø 79','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro stovo  vamzdþiø valymas elektrine freza per stovo pravalà rusyje, kai skersmuo 100 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,','',38.2602
2018-01-02,'18.01.02','19:15','19:35','20:10','UAB "Ðilëja " (Tel. 2466644), _','kyla nuotekos kriauklëje.Uþsikimðæs bendras virt.nuotekø stovas.',,'Gelvonø 16','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro virt.stovo  vamzdþiø valymas elektrine freza per stovo pravalà rusyje, kai skersmuo 50 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas, ','',38.2602
2018-01-02,'18.01.02','19:20','20:00','21:25','DGNSB Lauko g. 12, Lentvaris, 17/MA-214 ','kyla nuotekos rusyje.Uþsikimðæs bendras nuotekø stovas.',,'Lauko, Lentvaris 12','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad kanalizacija neprasivalo.Gyvatukas remiasi á kietà daiktà.','',15.6937
2018-01-02,'18.01.02','20:00','20:20','20:55','UAB "Fabeta " nuo 16 val. 30 min. iki 7 val. 30 min. d.dien.ir visomis nedarbo bei ðvenèiø dienomis.(dël neaiðk. skambinti energetikui - Gintaras Savickas tel. 867472732, 2','kyla nuotekos kriauklëje.Uþsikimðæs bendras virt.nuotekø stovas.',,'L. Giros 80','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro virt.stovo  vamzdþiø valymas elektrine freza per stovo pravalà virtuvëje, kai skersmuo 50 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,','',38.2602
2018-01-02,'18.01.02','22:30','22:50','23:20','UAB "Ðilëja " (Tel. 2466644), _','laða ið perdengimo buto tech.spintoje',,'Èiobiðkio 9','2.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas.Virðt.55:59 butuose niekas neatidarë durø. Raktø prie uþdaromos armatûros priëjimo ir komunikacijø iðdëstymo suradimas.K.vandens tiekimo iðjungimas namui uþdarant ventilá.','',26.232799999999997
2018-01-02,'18.01.02','23:30','23:50','00:20','UAB "Naujoji Pilaitë" -Reaguot tik atsak. asm. iðkvietim.- Sergejus Falèikas , Oleg Kupreðèenko ir Mykolas Miliauskas:tel. 865565023, 865565034, 868515930 ir UAB ,,AKTKC. Jeigu skambino gyv.,-turite sakyti tel. 230 74 14','kyla nuotekos klriauklëje.Uþsikimðæs bendras virt.nuotekø stovas.',,'Kanto  I. al.  3','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro virt.stovo  vamzdþiø valymas elektrine freza per stovo pravalà rusyje, kai skersmuo 100 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas','',48.3879
