'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2017-01-18,'17.01.18','07:35','07:45','08:55','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Ðv.Stepono 14','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.   Klozeto demontavimas buto tualeto patalpoje .  Nuotekos tinklø bendro vamzdþio   valymas su elektrine  freza  kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip  10 m. ið pravalos tualeto patalpoje.  Klozeto sumontavimas.  Ávadinio ðulinio dangèio atidarymas.  Nuotekos tinklø  valymas elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið ðulinio iki pastato  .  Ðulinio dangèio uþdarymas. Fekalijø nutekëjimo patikrinimas vandens srove. ','',55.6842000000000119
2017-01-18,'17.01.18','07:40','07:55','08:30','3613-oji DNSB  , _','Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Panevëþio 36','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis iki  10 m. ið pravalos rûsio  grindyse.  Fekalijø nutekëjimo patikrinimas vandens srove. Dalyvavo pirmininkas.','',38.2602
2017-01-18,'17.01.18','08:00','08:40','09:05','840-oji DNSB, _','Teka vanduo klozete',,'Taikos 104','2.1Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Ðalto vandens tiekimo iðjungimas tualeto bakeliui  uþdarant ventilá. Reikalingas sugedusios tualeto bakelio uþdaromosios armatûros keitimas tualeto patalpoje.','',18.8155
2017-01-18,'17.01.18','09:00','09:20','10:05','939-oji DNSB "Paðilaièiai", _',' Nenuteka nuotekos  ðil. mazge.  Uþsikimðæs bendras nuotekø  vamzdis ',,'Paðilaièiø 6','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas atsukant varþtus stovui ðil. mazge.  Nuotekos tinklø bendro stovo  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove. Dalyvavo atsakingas asmuo.','',40.329299999999994
2017-01-18,'17.01.18','10:15','10:40','11:10','898-oji DNSB',' Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Stanevièiaus S. 94','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos rûsio  grindyse.  Fekalijø nutekëjimo patikrinimas vandens srove. Dalyvavo pirmininkas.','',40.329299999999994
2017-01-18,'17.01.18','11:15','11:40','12:30','Nëra sutarties','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Kiparisø 23','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Sifono po plautuve virtuvës patalpoje iðardymas ir iðvalymas. Nuotekos tinklø bendro virtuvinio stovo  valymas su elektrine freza kai vamzdþio skersmuo iki 50 mm., ilgis daugiau kaip 10  m. Sifono surinkimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2017-01-18,'17.01.18','11:55','12:10','12:50','UAB ,,Þirmûnø baldø centras"','Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Þirmûnø 70','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos rûsio  grindyse.  Fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2017-01-18,'17.01.18','13:55','14:15','14:35','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Nëra elektros garaþe',,'Uþupio 19','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Nustatyta, kad neateina elektros átampa iki pakëlimo uþkardo. Átaremas laido trûkimas sienoje.','',18.827600000000003
2017-01-18,'17.01.18','14:40','15:05','15:25','Nëra sutarties','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø vamzdis',,'Baltruðaièio 11','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad uþsikimðæs bendras nuotekø vamzdis. Atvykus namo pirmininkas mûsø paslaugø atsisakë, iðkvietë kità ámonæ su kuria sudaræ sutartá.','',18.827600000000003
2017-01-18,'17.01.18','15:15','15:30','16:30','744-oji DNSB, _','Nëra elektros butuose',,'Vokieèiø 28/17','4.5.  63 A   saugiklio pakeitimas bendrame tinkle namo elektros skydinëje,  elektros tiekimo atnaujinimas. Ávadinës dëþutës dangèio atidarymas ir uþdarymas prisukant já varþtais. Dalyvavo pirmininkas.,4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos  apþiûra.  Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas bendrame tinkle namo el. skydinëje.','Saugiklis 63A 1 vnt',47.4562
2017-01-18,'17.01.18','17:10','17:40','18:10','939-oji DNSB "Paðilaièiai", _','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Paðilaièiø 20','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro stovo  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove','',40.329299999999994
2017-01-18,'17.01.18','18:00','18:10','19:00','99-oji daugiabuèiø namø savininkø bendrija Fabija, _','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Stanevièiaus S. 64','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas  stovui tech. spintoje bute.  Nuotekos tinklø bendro virtuvinio stovo valymas su elektrine freza   kai vamzdþio  skersmuo iki 50 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-01-18,'17.01.18','19:25','19:45','20:10','Nëra sutarties, 0','Teka vanduo ið virðaus',,'Povilaièio A.J. 12','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad atvykimo metu vanduo jau nebetekëjo. Virðutiniame 223-me bute drëgnos grindys po plautuve virtuvëje. Patikrinus inþinierinius tinklus vandens pratekëjimo neaptikome. Gyv. nuo vandens uþdarymo atsisakë. 219-me bute drëgnos koridoriaus ir salono lubos bei sienos. Virtuvëje drëgna baldø apatinë dalis.','',18.827600000000003
2017-01-18,'17.01.18','19:40','20:00','21:10','UAB "Ðilëja " (Tel. 2466644), _','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Dûkðtø 5','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Valant nuotekos tinklø bendrà stovà   su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis iki  1 m.  negalime pravalyti gyvatukas remiasi á kietà daiktà prie alkûnës rûsyje.  Pravalos dangèio uþdëjimas. Gyv. nuo vandens uþdarymo atsisakë.','',32.1618
