'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2018-02-19,'18.02.19','23:59','00:20','00:50','DNSB Gabijos g. 31','buto tech.spintoje uþia stovas.',,'Gabijos 31','2.1Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas.Uþia stovas gyventojai negali miegoti. Raktø prie uþdaromos armatûros priëjimo ir reikiamà stovo pagal komunikacijø iðdëstymà suradimas.K.vandens tiekimo iðjungimas stovui uþdarant ventilá. Uþimas baigësi.','',22.5786
2018-02-19,'18.02.19','03:50','04:10','05:20','UAB "Naujoji Pilaitë" -Reaguot tik atsak. asm. iðkvietim.- Sergejus Falèikas , Oleg Kupreðèenko ir Mykolas Miliauskas:tel. 865565023, 865565034, 868515930 ir UAB ,,AKTKC. Jeigu skambino gyv.,-turite sakyti tel. 230 74 14','ið perdengimo virtuvëje laða vanduo.','praneðta ','Tolminkiemio 11','2.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Virðt.66 bute trûkæs ð.vandens vamzdisvirtuvëje uþ spintelës.Raktø prie uþdaromos armatûros priëjimo ir komunikacijø iðdëstymo suradimas.Ð.vandens tiekimo iðjungimas namui uþdarant ventilá.','',26.232799999999997
2018-02-19,'18.02.19','07:45','08:10','08:35','UAB "Pastatø meistrai"-( UAB ,,Senam.ûkis") gavus praneðimà -ne vëliai kaip per dvi val. atvykti.Kont. asm.Tomas Kiðunas 862048707, Tomas Pupkus 865597556, Kiek.v. ryta atask.-klauskite@civinity.euinform.gyvent.-tel. 870055188, 17/MA-150','kyla nuotekos kriauklëje.Uþsikimðæs bendras nuotekø stovas.',,'Pylimo ','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Bendro stovo  vamzdþiø valymas elektrine freza per iðardytà kriauklës sifonà virtuvëje, kai skersmuo 100 mm., ilgis iki 10 m.Nuotekø nutekëjimo patikrinimas vandens srove.','',38.2602
2018-02-19,'18.02.19','08:35','09:00','09:30','VðÁ Vilniaus rajono centrinë poliklinika, _','kyla nuotekos klozete.Uþsikimðæs bendras nuotekø stovas.',,'Laisvës  pr. 79','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro stovo  vamzdþiø valymas elektrine freza,per stovo pravalà rusyje kai skersmuo 100 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas','',38.2602
2018-02-19,'18.02.19','10:35','10:45','11:25','175-oji DNSB (kvieèia pirmininkas arba santechnikas), _','kyla nuotekos rusyje.Uþsikimðæs bendras nuotekø stovas.',,'Antakalnio 62','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas Bendro stovo  vamzdþiø valymas elektrine freza per stovo pravalà rusyje, kai skersmuo 100 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas,','',40.329299999999994
2018-02-19,'18.02.19','11:15','11:35','11:50','113-oji  DNSB, _','kyla nuotekos rusyje.Uþsikimðæs bendras nuotekø stovas.',,'Taikos 17','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro stovo vamzdþiø valymas elektrine freza per grindø pravalà rusyje, kai skersmuo 100 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,','',38.2602
2018-02-19,'18.02.19','11:40','12:10','13:40','UAB "SERVICO"  Prieð vaþiav.praneðti atsakimgiems asmenims telefonu, _','kyla nuotekos klozete.Uþsikimðæs bendras nuotekø stovas.',,'Goðtauto 40','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad á kanalizacijos vamzdá ámestas plast.vamzdis.','',18.827600000000003
2018-02-19,'18.02.19','14:20','14:40','15:20','Nëra sutarties','kyla nuotekos klozete.Uþsikimðæs bendras nuotekø stovas.',,'Kalvarijø 85','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas  Bendro stovo vamzdþiø valymas elektrine freza per pravalà 1 aukðto tualete, kai skersmuo 100 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,','',45.9195
2018-02-19,'18.02.19','14:50','15:05','15:35','576-oji DNSB, _','ið perdengimo tech.spintoje tualete laða k.vanduo',,'Baltupio 75','2.1Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Reikia ardyti tech.spintos apdailà.Raktø prie uþdaromos armatûros priëjimo ir reikiamà stovo pagal komunikacijø iðdëstymà suradimas. K.vandens tiekimo iðjungimas stovui uþdarant ventilá.','',18.8155
2018-02-19,'18.02.19','16:25','16:40','17:15','Nëra sutarties, _','kyla nuotekos klozete.',,'Konarskio S. 10','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas.Buto vamzdþiø valymas per klozetà kai skersmuo 50 mm, ilgis iki 5 m su gyvatuku  ir nuotekø nutekëjimo patikrinimas vandens srove.','',27.2976
2018-02-19,'18.02.19','18:25','18:40','19:25','UAB "Ozo miestas", 134/14','kyla nuotekos klozete.Uþsikimðæs bendras nuotekø stovas.',,'Ðeðkinës 11','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro stovo  vamzdþiø valymas elektrine freza per stovo pravalà rusyje 50 sandeliuke., kai skersmuo 100 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,Gyventojai iðlauþë sandeliuko durys.','',38.2602
2018-02-19,'18.02.19','18:35','19:00','19:30','Nëra sutarties, _','ið bakelio tualete teka vanduo',,'Verkiø 28','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad reikia keisti bakelio armaturà.Uþdarytas ð.vanduo butui.','',15.6937
2018-02-19,'18.02.19','19:50','20:05','20:25','203-oji DNSB, 239/14','kyla nuotekos rusyje.Uþsikimðæs bendras nuotekø stovas.',,'Taikos 155','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas . Bendro stovo  vamzdþiø valymas elektrine freza per grindø pravalà rusyje, kai skersmuo 100 mm., ilgis iki 10 m.. Pravalos dangèio uþdëjimas,','',38.2602
2018-02-19,'18.02.19','20:30','20:45','21:35','UAB "Ðilëja " (Tel. 2466644), _','laða ið perdengimo tualete',,'Èiobiðkio 9','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad virðt.28 bute blogai pajungtas klozetas.Nuo vandens uþdarymo stovui gyventojai atsisakë.','',15.6937
2018-02-19,'18.02.19','22:45','23:00','23:30','Nëra sutarties, _','virtuvëje ið po kriauklës teka vanduo',,'Èiobiðkio 5','2.1Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas.Trûkæs lankstus privedimas virtuvëje po kriauklæ.Ð.vandens tiekimo iðjungimas virtuvëje uþdarant ventilá. ','',22.5786
